Time [s],Rank 5,Rank 1,Rank 4,Rank 0,Rank 7,Rank 3,Rank 6,Rank 2
95.812705957,,,,,0.000127485891314102,,,
95.851888204,,,0.000127485891314102,,,,,
95.869953523,,,,0.000127485891314102,,,,
95.877358267,0.000127485891314102,,,,,,,
95.96988979,,,,,,,0.000127485891314102,
96.000638816,,,,,,,,0.000127485891314102
96.002485783,,,,,,0.00012614222919713,,
96.011331249,,,,,0.00012614222919713,,,
96.071189907,,,,0.00012614222919713,,,,
96.081186624,,,0.00012614222919713,,,,,
96.08900716,,0.00012614222919713,,,,,,
96.118127824,0.00012614222919713,,,,,,,
96.195984055,,,,,,,0.00012614222919713,
96.230256345,,,,,,,,0.00012614222919713
96.258920598,,,,,0.000124890653664292,,,
96.265913771,,,,,,0.000124890653664292,,
96.27277989,0.000124890653664292,,,,,,,
96.285978883,,,0.000124890653664292,,,,,
96.291021002,,,,0.000124890653664292,,,,
96.317982905,,0.000124890653664292,,,,,,
96.427083509,,,,,,,,0.000124890653664292
96.483384934,,,,,,,0.000124890653664292,
96.512826428,,,,,,0.000123583271980131,,
96.526703902,0.000123583271980131,,,,,,,
96.539958736,,0.000123583271980131,,,,,,
96.556354536,,,,0.000123583271980131,,,,
96.560088937,,,,,0.000123583271980131,,,
96.598779399,,,0.000123583271980131,,,,,
96.624254765,,,,,,,,0.000123583271980131
96.67789468,,,,,,,0.000123583271980131,
96.711689515,,,,,,0.000122300097564254,,
96.716732372,,0.000122300097564254,,,,,,
96.718372378,0.000122300097564254,,,,,,,
96.73830034,,,,,0.000122300097564254,,,
96.758310058,,,,0.000122300097564254,,,,
96.836895585,,,,,,,0.000122300097564254,
96.871877758,,,0.000122300097564254,,,,,
96.909954614,,,,0.000122300097564254,,,,
96.913024246,,,,,,,,0.000122300097564254
96.94311303,0.000121066345143114,,,,,,,
96.957457924,,,,,0.000121066345143114,,,
96.982332265,,,,,,,0.000121066345143114,
97.009643888,,0.000121066345143114,,,,,,
97.035831203,,,,,,0.000121066345143114,,
97.054646618,,,0.000121066345143114,,,,,
97.110531979,,,,0.000121066345143114,,,,
97.123307894,,,,,,,,0.000121066345143114
97.134306459,,,,,,,0.000119534198627453,
97.184051975,,,,,0.000119534198627453,,,
97.18472601,,0.000119534198627453,,,,,,
97.23865143,0.000119534198627453,,,,,,,
97.250187119,,,,,,0.000119534198627453,,
97.274239459,,,,,,,,0.000119534198627453
97.283998571,,,0.000119534198627453,,,,,
97.302202989,,,,0.000119534198627453,,,,
97.345980175,,,,,,,0.000118406105501994,
97.398046396,,0.000118406105501994,,,,,,
97.410977672,,,,,,,,0.000118406105501994
97.42069892,,,,,,0.000118406105501994,,
97.432892184,,,,,0.000118406105501994,,,
97.462672154,0.000118406105501994,,,,,,,
97.469190274,,,0.000118406105501994,,,,,
97.481405141,,,,0.000118406105501994,,,,
